file_id,participant_id,session_id,category,label,frames,file_path,timestamp
001_A_001,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_001.json,2025-11-28T18:56:15.305338
001_A_002,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_002.json,2025-11-28T18:56:16.802547
001_A_003,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_003.json,2025-11-28T18:56:18.018265
001_A_004,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_004.json,2025-11-28T18:56:19.260926
001_A_005,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_005.json,2025-11-28T18:56:20.473707
001_A_006,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_006.json,2025-11-28T18:56:21.675130
001_A_007,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_007.json,2025-11-28T18:56:22.843181
001_A_008,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_008.json,2025-11-28T18:56:23.858276
001_A_009,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_009.json,2025-11-28T18:56:25.062865
001_A_010,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_010.json,2025-11-28T18:56:26.306650
001_A_011,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_011.json,2025-11-28T18:56:27.709496
001_A_012,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_012.json,2025-11-28T18:56:32.554537
001_A_013,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_013.json,2025-11-28T18:56:33.696291
001_A_014,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_014.json,2025-11-28T18:56:34.889232
001_A_015,001,session_002,alphabet,A,1,dataset/alphabet\A\001_A_015.json,2025-11-28T18:56:36.103741
001_B_001,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_001.json,2025-11-28T18:57:04.998396
001_B_002,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_002.json,2025-11-28T18:57:06.362499
001_B_003,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_003.json,2025-11-28T18:57:07.552782
001_B_004,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_004.json,2025-11-28T18:57:08.822161
001_B_005,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_005.json,2025-11-28T18:57:10.084490
001_B_006,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_006.json,2025-11-28T18:57:11.272968
001_B_007,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_007.json,2025-11-28T18:57:12.501961
001_B_008,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_008.json,2025-11-28T18:57:13.548370
001_B_009,001,session_002,alphabet,B,1,dataset/alphabet\B\001_B_009.json,2025-11-28T18:57:14.704832
